8	1.5
9	-1
10	0
11	3
12	2.1
13	0.3
14	1.3
15	14.9
16	13
17	26.2
18	47
19	10.4
20	1.9
21	-18.5
22	-16.7
23	-5.4
24	0
25	1.7
26	-3.4
27	-1.2
28	0.6
29	-1.2
30	-3.6
31	-3.1
32	-1.3
33	-2.6
34	0.7
35	2
36	1.3
37	3.2
38	1.9
39	3
40	13.5
41	13.5
42	6.8
43	0.4
44	-0.4
45	-0.4
46	0.4
47	3
48	5.8
49	0.4
50	1.6
51	16.9
52	7.2
53	0.6
54	0.9
55	2.4
56	5
57	4.5
58	4.3
59	0.8
60	4.1
61	2.2
62	4.8
63	3
64	3.1
65	5.2
66	6.6
67	4
68	2
69	2.7
70	6.9
71	7.4
72	6
73	6.7
74	9.9
75	9.8
76	10.4
77	11.3
78	10.1
79	7.2
80	13.6
81	12.1
82	8.5
83	8.9
84	8
85	7.4
86	4.2
87	4.2
88	5.8
89	6.4
90	10.5
91	9.3
92	2.3
93	4.7
94	2.2
95	2.5
96	0.5
97	0.5
98	-0.2
99	0.5
